German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
"die Ermäßigung, -en",discount / reduction,Für Schüler und Studenten gibt es eine <b>Ermäßigung</b>.,There is a discount for school pupils and university students.,,https://youglish.com/pronounce/Ermäßigung/german
erreichen,to reach / catch,"Wenn wir uns beeilen, <b>erreichen</b> wir noch den Zug um acht Uhr.","If we hurry, we can still catch the eight o'clock train.",,https://youglish.com/pronounce/erreichen/german
erst,only / not until,Wir können <b>erst</b> morgen kommen.,We can only come tomorrow.,,https://youglish.com/pronounce/erst/german
"der/die Erwachsene, -n",adult / grown-up,"<b>Erwachsene</b> zahlen zehn Euro, für Kinder ist der Eintritt frei.",Adults pay ten euros; admission is free for children.,,https://youglish.com/pronounce/Erwachsene/german
erzählen von (+ Dat.),to tell / narrate,<b>Erzählst</b> du mir eine Geschichte?,Will you tell me a story?,,https://youglish.com/pronounce/erzählen/german
"essen | isst, aß, hat gegessen",to eat,Was gibt es zu <b>essen</b>?,What is there to eat?,,https://youglish.com/pronounce/essen/german
"das Essen, -",food / meal,Das <b>Essen</b> in der Cafeteria ist meistens ganz gut.,The food in the cafeteria is mostly quite good.,,https://youglish.com/pronounce/Essen/german
etwas,something / a little,Ich muss dir <b>etwas</b> erzählen!,I have to tell you something!,,https://youglish.com/pronounce/etwas/german
"das Fach, -er",subject / compartment,Welches <b>Fach</b> magst du in der Schule am liebsten?,Which subject do you like best at school?,,https://youglish.com/pronounce/Fach/german
"fahren | fährt, fuhr, ist gefahren",to drive / travel / ride,Ich <b>fahre</b> mit dem Auto zur Arbeit.,I drive to work by car.,,https://youglish.com/pronounce/fahren/german
"abfahren | fährt ab, fuhr ab, ist abgefahren",to depart / leave,Der Zug <b>fährt</b> jetzt <b>ab</b>.,The train is departing now.,,https://youglish.com/pronounce/abfahren/german
"die Abfahrt, -en",departure,Wir haben noch zwanzig Minuten bis zur <b>Abfahrt</b>.,We still have twenty minutes until departure.,,https://youglish.com/pronounce/Abfahrt/german
"die Fahrkarte, -n",ticket (transit),Hast du schon eine <b>Fahrkarte</b>?,Do you already have a ticket?,,https://youglish.com/pronounce/Fahrkarte/german
"der Fahrplan, -e",timetable / schedule,Ist das der neue <b>Fahrplan</b>?,Is that the new timetable?,,https://youglish.com/pronounce/Fahrplan/german
"das Fahrrad, -er",bicycle,"Wenn es nicht regnet, fahre ich mit dem <b>Fahrrad</b>.","If it doesn't rain, I ride the bicycle.",,https://youglish.com/pronounce/Fahrrad/german
"fallen | fällt, fiel, ist gefallen",to fall,"Pass auf, das Glas <b>fällt</b> gleich vom Tisch.","Watch out, the glass is about to fall off the table.",,https://youglish.com/pronounce/fallen/german
falsch,wrong / incorrect,Die Lösung ist <b>falsch</b>.,The solution is wrong.,,https://youglish.com/pronounce/falsch/german
"die Familie, -n",family,Meine <b>Familie</b> lebt in Spanien.,My family lives in Spain.,,https://youglish.com/pronounce/Familie/german
"der Familienname, -n",surname / last name,Mein <b>Familienname</b> ist González.,My surname is González.,,https://youglish.com/pronounce/Familienname/german
"der Fan, -s",fan / supporter,Er ist ein großer Fußball<b>fan</b>.,He is a big football fan.,,https://youglish.com/pronounce/Fan/german
fantastisch,fantastic,Dein neues Kleid sieht <b>fantastisch</b> aus!,Your new dress looks fantastic!,,https://youglish.com/pronounce/fantastisch/german
"die Farbe, -n",color / paint,Die <b>Farbe</b> gefällt mir gut.,I like the color.,,https://youglish.com/pronounce/Farbe/german
fast,almost / nearly,Der Film ist <b>fast</b> zu Ende.,The movie is almost over.,,https://youglish.com/pronounce/fast/german
faul,lazy,Heute sind wir <b>faul</b>: Wir machen keine Hausaufgaben und arbeiten nicht.,Today we are lazy: we aren't doing any homework and aren't working.,,https://youglish.com/pronounce/faul/german
fehlen,to be missing / lack,"Herr Müller ist nicht da, er <b>fehlt</b> schon seit drei Tagen.","Mr. Müller is not here, he has been absent for three days.",,https://youglish.com/pronounce/fehlen/german
"der Fehler, -",mistake / error,Diesen <b>Fehler</b> mache ich immer wieder.,I make this mistake over and over again.,,https://youglish.com/pronounce/Fehler/german
"die Feier, -n",celebration / party,Die <b>Feier</b> war sehr schön.,The celebration was very nice.,,https://youglish.com/pronounce/Feier/german
feiern,to celebrate,Wir <b>feiern</b> heute meinen Geburtstag.,We are celebrating my birthday today.,,https://youglish.com/pronounce/feiern/german
"das Fenster, -",window,Kannst du bitte das <b>Fenster</b> öffnen?,Could you please open the window?,,https://youglish.com/pronounce/Fenster/german
die Ferien (nur Pl.),vacation / holidays,Bald haben wir <b>Ferien</b>.,Soon we will have school holidays.,,https://youglish.com/pronounce/Ferien/german
"fernsehen | sieht fern, sah fern, hat ferngesehen",to watch TV,Lass uns heute Abend mal <b>fernsehen</b>.,Let's watch television tonight.,,https://youglish.com/pronounce/fernsehen/german
"der Fernseher, -",television set,Der <b>Fernseher</b> ist kaputt.,The TV set is broken.,,https://youglish.com/pronounce/Fernseher/german
"fertig sein | ist fertig, war fertig, ist fertig gewesen",to be ready / finished,Das Essen ist gleich <b>fertig</b>.,The food will be ready in a moment.,,https://youglish.com/pronounce/fertig/german
"das Fest, -e",festival / party,Am Wochenende feiern wir ein <b>Fest</b>.,On the weekend we are celebrating a party.,,https://youglish.com/pronounce/Fest/german
"das Festival, -s",festival,Am Wochenende ist in der Stadt ein Musik-<b>Festival</b>.,On the weekend there is a music festival in the city.,,https://youglish.com/pronounce/Festival/german
fett,fat / greasy,Die Wurst ist mir zu <b>fett</b>.,The sausage is too fatty for me.,,https://youglish.com/pronounce/fett/german
das Fieber (kein Pl.),fever,Sie hat hohes <b>Fieber</b>.,She has a high fever.,,https://youglish.com/pronounce/Fieber/german
"der Film, -e",movie / film,Ich möchte gern diesen <b>Film</b> sehen.,I would like to see this film.,,https://youglish.com/pronounce/Film/german
"finden | findet, fand, hat gefunden",to find / consider,Wir müssen den Schlüssel <b>finden</b>.,We have to find the key.,,https://youglish.com/pronounce/finden/german
"die Firma, Firmen",company / firm,Er arbeitet jetzt bei einer anderen <b>Firma</b>.,He now works at a different company.,,https://youglish.com/pronounce/Firma/german
"der Fisch, -e",fish,<b>Fisch</b> mag ich lieber als Fleisch.,I like fish better than meat.,,https://youglish.com/pronounce/Fisch/german
"fit sein | ist fit, war fit, ist fit gewesen",to be fit,Tom will <b>fit</b> sein.,Tom wants to be fit.,,https://youglish.com/pronounce/fit/german
"die Flasche, -n",bottle,"Eine <b>Flasche</b> Mineralwasser, bitte!","A bottle of mineral water, please!",,https://youglish.com/pronounce/Flasche/german
das Fleisch (kein Pl.),meat,<b>Fleisch</b> mag ich nicht.,I do not like meat.,,https://youglish.com/pronounce/Fleisch/german
fleißig,hardworking / diligent,Ibrahim ist sehr <b>fleißig</b>. Er macht immer seine Hausaufgaben.,Ibrahim is very hardworking. He always does his homework.,,https://youglish.com/pronounce/fleißig/german
"fliegen | fliegt, flog, ist geflogen",to fly,Ich <b>fliege</b> in den Ferien nach Spanien.,I am flying to Spain during the vacation.,,https://youglish.com/pronounce/fliegen/german
"abfliegen | fliegt ab, flog ab, ist abgeflogen",to take off / depart (flight),Wann <b>fliegst</b> du <b>ab</b>?,When are you flying out?,,https://youglish.com/pronounce/abfliegen/german
"der Flohmarkt, -e",flea market,Diesen Hut habe ich auf dem <b>Flohmarkt</b> gekauft.,I bought this hat at the flea market.,,https://youglish.com/pronounce/Flohmarkt/german
"der Flug, -e",flight,Ich möchte einen <b>Flug</b> nach Kanada buchen.,I would like to book a flight to Canada.,,https://youglish.com/pronounce/Flug/german
"der Flughafen, -",airport,Kannst du mich zum <b>Flughafen</b> bringen?,Can you take me to the airport?,,https://youglish.com/pronounce/Flughafen/german
"das Flugzeug, -e",airplane / plane,Das <b>Flugzeug</b> aus Berlin hat Verspätung.,The plane from Berlin is delayed.,,https://youglish.com/pronounce/Flugzeug/german
"der Fluss, -e",river,Der Rhein ist ein großer <b>Fluss</b>.,The Rhine is a large river.,,https://youglish.com/pronounce/Fluss/german
"das Formular, -e",form (document),Sie müssen dieses <b>Formular</b> ausfüllen.,You have to fill out this form.,,https://youglish.com/pronounce/Formular/german
"der Fotoapparat, -e",camera,Ich möchte mir einen <b>Fotoapparat</b> kaufen.,I would like to buy a camera.,,https://youglish.com/pronounce/Fotoapparat/german
fotografieren,to photograph / take photos,Ich <b>fotografiere</b> gern.,I like taking photographs.,,https://youglish.com/pronounce/fotografieren/german
"das Foto, -s",photo / photograph,Darf ich ein <b>Foto</b> machen?,May I take a photo?,,https://youglish.com/pronounce/Foto/german
"die Frage, -n",question,Ich habe eine <b>Frage</b>.,I have a question.,,https://youglish.com/pronounce/Frage/german
fragen nach (+ Dat.),to ask,"Er <b>fragt</b>, wann er kommen kann.",He asks when he can come.,,https://youglish.com/pronounce/fragen/german
"die Frau, -en",woman / wife / Mrs.,Hier arbeiten mehr <b>Frauen</b> als Männer.,More women than men work here.,,https://youglish.com/pronounce/Frau/german
frei,free / vacant,"Entschuldigung, ist dieser Platz noch <b>frei</b>?","Excuse me, is this seat still free?",,https://youglish.com/pronounce/frei/german
freiwillig,voluntarily,Manchmal bleibe ich <b>freiwillig</b> länger im Büro.,Sometimes I voluntarily stay longer at the office.,,https://youglish.com/pronounce/freiwillig/german
die Freizeit (kein Pl.),free time / leisure,In meiner <b>Freizeit</b> spiele ich oft Fußball.,In my spare time I often play football.,,https://youglish.com/pronounce/Freizeit/german
fremd,foreign / strange,"Das weiß ich nicht, ich bin <b>fremd</b> hier.","I don't know that, I am a stranger here.",,https://youglish.com/pronounce/fremd/german
freuen (sich) auf/über (+ Akk.),to be pleased / look forward to,Die Kinder <b>freuen sich</b> schon auf die Ferien.,The children are already looking forward to the holidays.,,https://youglish.com/pronounce/freuen/german
"der Freund, -e / die Freundin, -nen",friend / boyfriend / girlfriend,Das ist ein <b>Freund</b> von mir.,That is a friend of mine.,,https://youglish.com/pronounce/Freund/german
freundlich,friendly / kind,Er ist immer sehr <b>freundlich</b> zu mir.,He is always very friendly to me.,,https://youglish.com/pronounce/freundlich/german
frisch,fresh,Das Brot ist noch ganz <b>frisch</b>.,The bread is still completely fresh.,,https://youglish.com/pronounce/frisch/german
froh,glad / happy,"Ich bin <b>froh</b>, dass du kommen kannst.",I am glad that you can come.,,https://youglish.com/pronounce/froh/german
"früh (früher, am frühesten)",early,Ich muss morgen sehr <b>früh</b> aufstehen.,I have to get up very early tomorrow.,,https://youglish.com/pronounce/früh/german
früher,earlier / previously,<b>Früher</b> habe ich in Berlin gewohnt.,Previously I lived in Berlin.,,https://youglish.com/pronounce/früher/german
das Frühstück (kein Pl.),breakfast,Möchtest du ein Ei zum <b>Frühstück</b>?,Would you like an egg for breakfast?,,https://youglish.com/pronounce/Frühstück/german
frühstücken,to have breakfast,Ich <b>frühstücke</b> immer um 9:00 Uhr.,I always eat breakfast at 9:00 AM.,,https://youglish.com/pronounce/frühstücken/german
fühlen (sich),to feel,Wie <b>fühlen</b> Sie sich?,How are you feeling?,,https://youglish.com/pronounce/fühlen/german
"der Führerschein, -e",driver's license,Hast du den <b>Führerschein</b>?,Do you have a driver's license?,,https://youglish.com/pronounce/Führerschein/german
"die Führung, -en",guided tour,Die nächste <b>Führung</b> beginnt um 15 Uhr.,The next guided tour begins at 3 PM.,,https://youglish.com/pronounce/Führung/german
die Fundsachen (nur Pl.),lost property,Sie können dort bei den <b>Fundsachen</b> schauen.,You can look over there in the lost and found.,,https://youglish.com/pronounce/Fundsachen/german
für (+ Akk.),for,Das Paket ist <b>für</b> Sie.,The parcel is for you.,,https://youglish.com/pronounce/für/german
furchtbar,terrible / awful,Er hat <b>furchtbare</b> Schmerzen.,He has terrible pain.,,https://youglish.com/pronounce/furchtbar/german
"der Fuß, -e",foot,Der linke <b>Fuß</b> tut mir weh.,My left foot hurts.,,https://youglish.com/pronounce/Fuß/german
"der Fußball, -e",football / soccer,Spielt ihr gern <b>Fußball</b>?,Do you like playing football?,,https://youglish.com/pronounce/Fußball/german
"die Gabel, -n",fork,Kann ich bitte eine <b>Gabel</b> haben?,Can I please have a fork?,,https://youglish.com/pronounce/Gabel/german
ganz,whole / completely,Morgen haben wir den <b>ganzen</b> Tag Schule.,Tomorrow we have school the whole day.,,https://youglish.com/pronounce/ganz/german
"die Garage, -n",garage,Hier ist eine <b>Garage</b> für dein Auto.,Here is a garage for your car.,,https://youglish.com/pronounce/Garage/german
"der Garten, -",garden / yard,Wir haben leider keinen <b>Garten</b>.,Unfortunately we do not have a garden.,,https://youglish.com/pronounce/Garten/german
"der Gast, -e",guest,Heute Abend haben wir <b>Gäste</b>.,Tonight we have guests.,,https://youglish.com/pronounce/Gast/german
"geben | gibt, gab, hat gegeben",to give,Kannst du mir mal deinen Stift <b>geben</b>?,Can you give me your pen for a moment?,,https://youglish.com/pronounce/geben/german
geboren,born,Ich bin in Zagreb <b>geboren</b>.,I was born in Zagreb.,,https://youglish.com/pronounce/geboren/german
"das Geburtsjahr, -e / der Geburtsort, -e / der Geburtstag, -e",birth details (year/place/day),Herzlichen Glückwunsch zum <b>Geburtstag</b>!,Happy birthday!,,https://youglish.com/pronounce/Geburtsjahr/german
geehrt-,honored / esteemed,"Sehr <b>geehrte</b> Damen und Herren,","Dear Sir or Madam,",,https://youglish.com/pronounce/geehrt/german
gefährlich,dangerous,Du darfst nicht bei Rot über die Straße gehen. Das ist <b>gefährlich</b>.,You mustn't cross the street on red. That is dangerous.,,https://youglish.com/pronounce/gefährlich/german
"gefallen | gefällt, gefiel, hat gefallen",to please / appeal to,Das Bild <b>gefällt</b> mir.,I like the picture.,,https://youglish.com/pronounce/gefallen/german
gegen (+ Akk.),against / around,Fahr nicht <b>gegen</b> den Baum!,Don't drive into the tree!,,https://youglish.com/pronounce/gegen/german
"das Gegenteil, -e",opposite / contrary,Das <b>Gegenteil</b> von „klein“ ist „groß“.,The opposite of 'small' is 'big'.,,https://youglish.com/pronounce/Gegenteil/german
gegenüber (+ Dat.),opposite / across from,Die Post ist <b>gegenüber</b> vom Bahnhof.,The post office is opposite the train station.,,https://youglish.com/pronounce/gegenüber/german
"das Gehalt, -er",salary / wage,Sie ist mit ihrem <b>Gehalt</b> zufrieden.,She is satisfied with her salary.,,https://youglish.com/pronounce/Gehalt/german
"gehen | geht, ging, ist gegangen",to go / walk,Ich muss jetzt leider <b>gehen</b>.,Unfortunately I have to go now.,,https://youglish.com/pronounce/gehen/german
gehören zu (+ Dat.),to belong to,<b>Gehört</b> der Stift dir?,Does the pen belong to you?,,https://youglish.com/pronounce/gehören/german
das Geld (kein Pl.),money,Hast du noch <b>Geld</b>?,Do you still have money?,,https://youglish.com/pronounce/Geld/german
"die Geldbörse, -n",wallet / purse,Sie hat ihre <b>Geldbörse</b> verloren.,She lost her wallet.,,https://youglish.com/pronounce/Geldbörse/german
das Gemüse (kein Pl.),vegetables,Wir kaufen das <b>Gemüse</b> immer auf dem Markt.,We always buy vegetables at the market.,,https://youglish.com/pronounce/Gemüse/german
genau,exact / accurate,Die Uhr geht <b>genau</b>.,The watch is accurate.,,https://youglish.com/pronounce/genau/german
genug,enough,Es ist noch <b>genug</b> Pizza da.,There is still enough pizza left.,,https://youglish.com/pronounce/genug/german
das Gepäck (kein Pl.),luggage / baggage,Wollen Sie Ihr <b>Gepäck</b> mitnehmen?,Do you want to take your luggage with you?,,https://youglish.com/pronounce/Gepäck/german
gerade,just / right now,Was machst du <b>gerade</b>?,What are you doing right now?,,https://youglish.com/pronounce/gerade/german
geradeaus,straight ahead,Gehen Sie immer <b>geradeaus</b>!,Keep walking straight ahead!,,https://youglish.com/pronounce/geradeaus/german
"das Gerät, -e",appliance / device,Elektro<b>geräte</b> finden Sie im dritten Stock.,You will find electrical appliances on the third floor.,,https://youglish.com/pronounce/Gerät/german
"das Gericht, -e",dish (food) / court,Mein Lieblings<b>gericht</b> ist Pizza.,My favorite dish is pizza.,,https://youglish.com/pronounce/Gericht/german
"gern (lieber, am liebsten)",gladly / willingly,Ich helfe Ihnen <b>gern</b>.,I gladly help you.,,https://youglish.com/pronounce/gern/german
"das Geschäft, -e",shop / store / business,Die <b>Geschäfte</b> schließen um 18.30 Uhr.,The shops close at 6:30 PM.,,https://youglish.com/pronounce/Geschäft/german
"das Geschenk, -e",present / gift,Danke für das schöne <b>Geschenk</b>.,Thank you for the lovely gift.,,https://youglish.com/pronounce/Geschenk/german
"die Geschichte, -n",story / history,Erzählst du mir eine <b>Geschichte</b>?,Will you tell me a story?,,https://youglish.com/pronounce/Geschichte/german
das Geschirr (kein Pl.),dishes / tableware,Stellst du bitte das <b>Geschirr</b> in den Schrank?,Could you please put the dishes into the cupboard?,,https://youglish.com/pronounce/Geschirr/german
"das Gesicht, -er",face,Wasch dir bitte das <b>Gesicht</b>.,Please wash your face.,,https://youglish.com/pronounce/Gesicht/german
"das Gespräch, -e",conversation,Das <b>Gespräch</b> mit Frau Kunz ist um 14 Uhr.,The conversation with Ms. Kunz is at 2 PM.,,https://youglish.com/pronounce/Gespräch/german
gestern,yesterday,<b>Gestern</b> wollte ich dich anrufen.,Yesterday I wanted to call you.,,https://youglish.com/pronounce/gestern/german
"gesund (gesünder, am gesündesten)",healthy,Ich hatte Grippe. Jetzt bin ich wieder <b>gesund</b>.,I had flu. Now I am healthy again.,,https://youglish.com/pronounce/gesund/german
die Gesundheit (kein Pl.),health,<b>Gesundheit</b>! Sind Sie erkältet?,Bless you! Do you have a cold?,,https://youglish.com/pronounce/Gesundheit/german
"das Getränk, -e",beverage / drink,Mein Lieblings<b>getränk</b> ist Tomatensaft.,My favorite drink is tomato juice.,,https://youglish.com/pronounce/Getränk/german
"gewinnen | gewinnt, gewann, hat gewonnen",to win,Unsere Mannschaft hat <b>gewonnen</b>.,Our team won.,,https://youglish.com/pronounce/gewinnen/german
"das Gewitter, -",thunderstorm,"Ich glaube, es gibt heute ein <b>Gewitter</b>.",I think there will be a thunderstorm today.,,https://youglish.com/pronounce/Gewitter/german
"die Gitarre, -n",guitar,Er kann gut <b>Gitarre</b> spielen.,He can play the guitar well.,,https://youglish.com/pronounce/Gitarre/german
"das Glas, -er",glass,Bitte noch ein <b>Glas</b> Apfelsaft!,"Another glass of apple juice, please!",,https://youglish.com/pronounce/Glas/german
glauben an (+ Akk.),to believe / think,"Ich <b>glaube</b>, er kommt gleich.",I believe he is coming shortly.,,https://youglish.com/pronounce/glauben/german
gleich,equal / right away,Ich komme <b>gleich</b>.,I'm coming right away.,,https://youglish.com/pronounce/gleich/german
"das Gleis, -e",track / platform track,Der ICE nach Berlin hält heute an <b>Gleis</b> 12.,The ICE to Berlin stops at track 12 today.,,https://youglish.com/pronounce/Gleis/german
das Glück (kein Pl.),luck / happiness,Viel <b>Glück</b>!,Good luck!,,https://youglish.com/pronounce/Glück/german
glücklich,happy / fortunate,Meine Tochter ist <b>glücklich</b> verheiratet.,My daughter is happily married.,,https://youglish.com/pronounce/glücklich/german
"der Glückwunsch, -e",congratulation,Herzlichen <b>Glückwunsch</b> zum Geburtstag!,Congratulations on your birthday!,,https://youglish.com/pronounce/Glückwunsch/german
gratulieren zu (+ Dat.),to congratulate,Ich <b>gratuliere</b> dir!,I congratulate you!,,https://youglish.com/pronounce/gratulieren/german
grillen,to grill / barbecue,Heute <b>grillen</b> wir im Garten.,Today we are barbecuing in the garden.,,https://youglish.com/pronounce/grillen/german
die Grippe (kein Pl.),flu / influenza,Ich habe eine <b>Grippe</b> und kann leider nicht kommen.,I have the flu and unfortunately cannot come.,,https://youglish.com/pronounce/Grippe/german
"groß (größer, am größten)",big / tall / large,Frankfurt ist eine <b>große</b> Stadt.,Frankfurt is a big city.,,https://youglish.com/pronounce/groß/german
"die Größe, -n",size,Haben Sie das T-Shirt auch in <b>Größe</b> M?,Do you have the T-shirt in size M too?,,https://youglish.com/pronounce/Größe/german
"die Gruppe, -n",group,Für <b>Gruppen</b> gibt es eine Ermäßigung.,There is a discount for groups.,,https://youglish.com/pronounce/Gruppe/german
"der Gruß, -e",greeting / regards,Viele <b>Grüße</b> an Ihre Frau.,Warm regards to your wife.,,https://youglish.com/pronounce/Gruß/german
"gültig sein | ist gültig, war gültig, ist gültig gewesen",to be valid,Der Pass ist nicht mehr <b>gültig</b>.,The passport is no longer valid.,,https://youglish.com/pronounce/gültig/german
günstig,affordable / favorable,In diesem Laden gibt es immer <b>günstige</b> Angebote.,In this shop there are always affordable offers.,,https://youglish.com/pronounce/günstig/german
"gut (besser, am besten)",good / well,Das finde ich <b>gut</b>.,I find that good.,,https://youglish.com/pronounce/gut/german
"das Haar, -e",hair,Sie hat lange <b>Haare</b>.,She has long hair.,,https://youglish.com/pronounce/Haar/german
"haben | hat, hatte, hat gehabt",to have,Ich <b>habe</b> ein neues Auto.,I have a new car.,,https://youglish.com/pronounce/haben/german
"das Hähnchen, -",chicken,"Ein <b>Hähnchen</b> mit Pommes, bitte!","A chicken with french fries, please!",,https://youglish.com/pronounce/Hähnchen/german
"die Halle, -n",hall,Wo ist die neue Sport<b>halle</b>?,Where is the new sports hall?,,https://youglish.com/pronounce/Halle/german
hallo,hello,<b>Hallo</b> Inge! Wie geht's?,Hello Inge! How are you?,,https://youglish.com/pronounce/hallo/german
"der Hals, -e",neck / throat,Mir tut der <b>Hals</b> weh.,My throat hurts.,,https://youglish.com/pronounce/Hals/german
"halten | hält, hielt, hat gehalten",to stop / hold,Dieser Zug <b>hält</b> nicht in Rüdesheim.,This train does not stop in Rüdesheim.,,https://youglish.com/pronounce/halten/german
"die Haltestelle, -n",stop (bus/tram),An der nächsten <b>Haltestelle</b> müssen Sie aussteigen.,You have to get off at the next stop.,,https://youglish.com/pronounce/Haltestelle/german
"der Hamburger, -",hamburger,"Einen <b>Hamburger</b> ohne Salat, bitte.","A hamburger without lettuce, please.",,https://youglish.com/pronounce/Hamburger/german
"die Hand, -e",hand,Wasch dir bitte die <b>Hände</b> vor dem Essen.,Please wash your hands before eating.,,https://youglish.com/pronounce/Hand/german
"das Handtuch, -er",towel,Gibst du mir bitte ein frisches <b>Handtuch</b>?,Could you please give me a fresh towel?,,https://youglish.com/pronounce/Handtuch/german
"das Handy, -s",mobile phone / cellphone,In der Schule bitte die <b>Handys</b> ausmachen!,Please turn off mobile phones in school!,,https://youglish.com/pronounce/Handy/german
"hängen | hängt, hing/hängte, hat gehangen/gehängt",to hang,Im Museum <b>hängen</b> moderne Bilder.,Modern paintings are hanging in the museum.,,https://youglish.com/pronounce/hängen/german
"hart (härter, am härtesten)",hard / tough,Ich finde das Bett zu <b>hart</b>.,I find the bed too hard.,,https://youglish.com/pronounce/hart/german
hässlich,ugly,Ich finde das Kleid <b>hässlich</b>.,I find the dress ugly.,,https://youglish.com/pronounce/hässlich/german
"die Hauptstadt, -e",capital city,Berlin ist die <b>Hauptstadt</b> von Deutschland.,Berlin is the capital of Germany.,,https://youglish.com/pronounce/Hauptstadt/german
"das Haus, -er",house / home,Ich gehe jetzt nach <b>Hause</b>.,I am going home now.,,https://youglish.com/pronounce/Haus/german
"der Haushalt, -e",household / chores,Wer macht bei euch den <b>Haushalt</b>?,Who does the household chores at your place?,,https://youglish.com/pronounce/Haushalt/german
"das Heft, -e",notebook / booklet,Hast du dein <b>Heft</b> dabei?,Do you have your notebook with you?,,https://youglish.com/pronounce/Heft/german
die Heimat (kein Pl.),homeland / home,Ich komme aus der Schweiz. Das ist meine <b>Heimat</b>.,I come from Switzerland. That is my homeland.,,https://youglish.com/pronounce/Heimat/german
heiraten,to marry,Meine Schwester <b>heiratet</b> nächsten Monat.,My sister is getting married next month.,,https://youglish.com/pronounce/heiraten/german
heiß,hot,"Vorsicht, der Tee ist <b>heiß</b>!","Careful, the tea is hot!",,https://youglish.com/pronounce/heiß/german
"heißen | heißt, hieß, hat geheißen",to be called / named,Ich <b>heiße</b> Charlotte Meier.,My name is Charlotte Meier.,,https://youglish.com/pronounce/heißen/german
"die Heizung, -en",heating / radiator,Es ist kalt. Ist die <b>Heizung</b> kaputt?,It is cold. Is the heating broken?,,https://youglish.com/pronounce/Heizung/german
"helfen bei (+ Dat.) | hilft, half, hat geholfen",to help,Würden Sie mir bitte <b>helfen</b>?,Would you please help me?,,https://youglish.com/pronounce/helfen/german
hell,bright / light,Im Sommer ist es bis 21 Uhr <b>hell</b>.,In summer it is bright until 9 PM.,,https://youglish.com/pronounce/hell/german
"das Hemd, -en",shirt,Nick trägt heute ein neues <b>Hemd</b>.,Nick is wearing a new shirt today.,,https://youglish.com/pronounce/Hemd/german
her / her-,here / towards here,Komm bitte mal <b>her</b>!,Please come over here!,,https://youglish.com/pronounce/her/german
heraus / raus,out / outwards,Kannst du bitte den Müll <b>rausbringen</b>?,Could you please take the rubbish out?,,https://youglish.com/pronounce/heraus/german
herein / rein,in / inside,<b>Herein</b>! Die Tür ist offen.,Come in! The door is open.,,https://youglish.com/pronounce/herein/german
"der Herd, -e",stove / cooker,In der neuen Küche fehlt noch der <b>Herd</b>.,The stove is still missing in the new kitchen.,,https://youglish.com/pronounce/Herd/german
"der Herr, -en",gentleman / Mr.,"Guten Tag, <b>Herr</b> Sommer!","Good day, Mr. Sommer!",,https://youglish.com/pronounce/Herr/german
herstellen,to produce / manufacture,In unserer Firma <b>stellen</b> wir Möbel <b>her</b>.,In our company we manufacture furniture.,,https://youglish.com/pronounce/herstellen/german
"herunterladen | lädt herunter, lud herunter, hat heruntergeladen",to download,Er <b>lädt</b> die Musik aus dem Internet <b>herunter</b>.,He downloads the music from the internet.,,https://youglish.com/pronounce/herunterladen/german
herzlich,cordial / warm,<b>Herzlichen</b> Glückwunsch!,Warm congratulations!,,https://youglish.com/pronounce/herzlich/german
heute,today,<b>Heute</b> ist ein schöner Tag.,Today is a beautiful day.,,https://youglish.com/pronounce/heute/german
hier,here,<b>Hier</b> wohne ich.,I live here.,,https://youglish.com/pronounce/hier/german
die Hilfe (kein Pl.),help / assistance,<b>Hilfe</b>! Bitte helfen Sie mir!,Help! Please help me!,,https://youglish.com/pronounce/Hilfe/german
der Himmel (kein Pl.),sky / heaven,Der <b>Himmel</b> ist blau und es gibt keine Wolken.,The sky is blue and there are no clouds.,,https://youglish.com/pronounce/Himmel/german
hin / hin-,there / towards there,Wo gehst du <b>hin</b>?,Where are you going?,,https://youglish.com/pronounce/hin/german
hinten,at the back / behind,Die Tür zum Aussteigen ist <b>hinten</b>.,The exit door is at the back.,,https://youglish.com/pronounce/hinten/german
hinter (+ Dat./Akk.),behind,<b>Hinter</b> dem Haus haben wir einen Garten.,Behind the house we have a garden.,,https://youglish.com/pronounce/hinter/german
"das Hobby, -s",hobby,Meine <b>Hobbys</b> sind Joggen und Schwimmen.,My hobbies are jogging and swimming.,,https://youglish.com/pronounce/Hobby/german
"hoch (höher, am höchsten)",high / tall,Der Mount Everest ist circa 8.880 Meter <b>hoch</b>.,"Mount Everest is about 8,880 meters high.",,https://youglish.com/pronounce/hoch/german
"die Hochzeit, -en",wedding,Zu seiner <b>Hochzeit</b> kommen mehr als einhundert Gäste.,More than one hundred guests are coming to his wedding.,,https://youglish.com/pronounce/Hochzeit/german
hoffen auf (+ Akk.),to hope,"Ich <b>hoffe</b>, dass es dir gut geht.",I hope that you are doing well.,,https://youglish.com/pronounce/hoffen/german
hoffentlich,hopefully,<b>Hoffentlich</b> hat unser Zug keine Verspätung.,Hopefully our train won't be delayed.,,https://youglish.com/pronounce/hoffentlich/german
holen,to get / fetch,Soll ich uns etwas zu trinken <b>holen</b>?,Shall I get us something to drink?,,https://youglish.com/pronounce/holen/german
"die Homepage, -s",homepage / website,Kennst du eine <b>Homepage</b> mit Deutschübungen?,Do you know a homepage with German exercises?,,https://youglish.com/pronounce/Homepage/german
hören,to hear / listen,Ich habe das Lied schon mal <b>gehört</b>.,I have heard that song before.,,https://youglish.com/pronounce/hören/german
